,German,English
0,allerdings,however
1,beziehungsweise,respectively
2,beispielsweise,for example
3,dennoch,nonetheless
4,ebenfalls,also
5,entweder,either
6,jedoch,however
7,keinesfalls,no way
8,möglicherweise,possibly
9,notwendig,necessary
10,plötzlich,suddenly
11,sowieso,anyway
12,tatsächlich,actually
13,unbedingt,absolutely
14,vermutlich,allegedly
15,wahrscheinlich,probably
16,zufällig,randomly
17,zunächst,first
18,anschließend,afterward
19,außerdem,aside from that
20,inzwischen,in the meantime
21,mittlerweile,in the meantime
22,künftig,future
23,derzeit,currently
24,häufig,frequently
25,selten,rarely
26,oftmals,often
27,bereits,already
28,ständig,constant
29,wenigstens,at least
30,möglichst,possible
31,gemeinsam,together
32,insgesamt,in total
33,durchaus,absolutely
34,scheinbar,apparently
35,wirklich,really
36,bereit,ready
37,fähig,capable
38,verfügbar,available
39,verantwortlich,responsible
40,wesentlich,significant
41,unabhängig,independent
42,zuständig,responsible
43,erfolgreich,successful
44,deutlich,clearly
45,angenehm,pleasant
46,ungewöhnlich,unusual
47,sinnvoll,sensible
48,geeignet,suitable
49,überzeugt,convinced
50,begeistert,enthusiastic
51,enttäuscht,disappointed
52,verwirrt,confused
53,überrascht,surprised
54,erschöpft,exhausted
55,erreichbar,reachable
56,verfügbar,available
57,erkennbar,recognizable
58,bedeutend,significant
59,entscheidend,decisive
60,erforderlich,necessary
61,freiwillig,voluntarily
62,grundsätzlich,basically
63,selbstverständlich,of course
64,verständlich,understandable
65,zuverlässig,reliable
66,bevorzugt,preferred
67,zusätzlich,additionally
68,betroffen,affected
69,beteiligt,involved
70,vorhanden,available
71,verantwortlich,responsible
72,notwendig,necessary
73,erledigen,complete
74,durchführen,carry out
75,berücksichtigen,take into account
76,ermöglichen,make possible
77,überprüfen,check
78,verbessern,improve
79,vorschlagen,suggest
80,beantragen,apply for
81,verhindern,impede
82,vorbereiten,prepare
83,beweisen,prove
84,überzeugen,convince
85,entstehen,arise
86,erscheinen,appear
87,beschreiben,describe
88,vergleichen,compare
89,entwickeln,develop
90,genau – exactly,
91,vielleicht – maybe,
92,enthalten,contain
93,festlegen,establish
94,darstellen,represent
95,Freundlich, Friendly
96,Schmetterling, Butterfly
97,Stuhl, Chair
98,Fenster, Window
99,Apfel, Apple
